Started at Wed Nov 13 08:26:45 CET 2024
11/13 08:26:49 - mmengine - INFO - Iter(test) [1350/2000]    eta: 0:04:12  time: 0.0838  data_time: 0.0017  memory: 17002  
Processing corruption type: glass_blur
11/13 08:27:09 - mmengine - INFO - Iter(test) [1400/2000]    eta: 0:03:53  time: 0.5136  data_time: 0.0017  memory: 17021  
11/13 08:27:18 - mmengine - INFO - Iter(test) [1450/2000]    eta: 0:03:29  time: 0.4447  data_time: 0.0017  memory: 17009  
11/13 08:27:22 - mmengine - INFO - Iter(test) [1500/2000]    eta: 0:03:05  time: 0.0808  data_time: 0.0016  memory: 720  
11/13 08:27:28 - mmengine - INFO - Iter(test) [1550/2000]    eta: 0:02:43  time: 0.0890  data_time: 0.0017  memory: 16952  
11/13 08:27:32 - mmengine - INFO - Iter(test) [1600/2000]    eta: 0:02:22  time: 0.0832  data_time: 0.0018  memory: 1600  
11/13 08:27:44 - mmengine - INFO - Iter(test) [1650/2000]    eta: 0:02:02  time: 0.0779  data_time: 0.0016  memory: 17024  
11/13 08:27:55 - mmengine - INFO - Iter(test) [1700/2000]    eta: 0:01:44  time: 0.0862  data_time: 0.0019  memory: 17015  
11/13 08:28:05 - mmengine - INFO - Iter(test) [1750/2000]    eta: 0:01:25  time: 0.0893  data_time: 0.0016  memory: 17004  
11/13 08:28:12 - mmengine - INFO - Iter(test) [1800/2000]    eta: 0:01:07  time: 0.0884  data_time: 0.0019  memory: 17004  
11/13 08:28:17 - mmengine - INFO - Iter(test) [1850/2000]    eta: 0:00:49  time: 0.0886  data_time: 0.0019  memory: 670  
11/13 08:28:25 - mmengine - INFO - Iter(test) [1900/2000]    eta: 0:00:32  time: 0.0910  data_time: 0.0017  memory: 17027  
11/13 08:28:35 - mmengine - INFO - Iter(test) [1950/2000]    eta: 0:00:16  time: 0.0822  data_time: 0.0017  memory: 17008  
11/13 08:28:43 - mmengine - INFO - Iter(test) [2000/2000]    eta: 0:00:00  time: 0.0778  data_time: 0.0014  memory: 16956  
11/13 08:28:43 - mmengine - INFO - per class results:
11/13 08:28:43 - mmengine - INFO - 
+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
|         base        | 22.88 | 29.96 |
|         box         |  12.2 | 16.89 |
|        column       | 26.17 | 38.04 |
|      signboard      | 19.59 | 29.54 |
|   chest of drawers  | 34.15 | 47.53 |
|       counter       | 21.15 | 28.29 |
|         sand        | 32.42 | 46.08 |
|         sink        | 45.92 | 62.05 |
|      skyscraper     | 25.35 | 28.72 |
|      fireplace      | 61.41 | 76.87 |
|     refrigerator    | 54.67 | 65.52 |
|      grandstand     | 34.43 | 59.35 |
|         path        | 11.91 | 15.32 |
|        stairs       | 21.14 | 25.06 |
|        runway       | 59.57 | 81.46 |
|         case        |  45.5 | 65.85 |
|      pool table     | 70.46 | 82.36 |
|        pillow       | 38.69 | 52.91 |
|     screen door     | 56.02 | 64.23 |
|       stairway      | 21.24 | 24.26 |
|        river        | 10.07 | 16.42 |
|        bridge       | 38.67 | 45.17 |
|       bookcase      | 29.09 |  38.0 |
|        blind        | 28.15 | 32.13 |
|     coffee table    | 46.66 | 66.96 |
|        toilet       | 53.36 | 70.98 |
|        flower       | 24.12 | 36.57 |
|         book        | 30.44 | 47.57 |
|         hill        |  4.34 |  6.21 |
|        bench        | 35.45 | 43.75 |
|      countertop     | 39.11 | 53.45 |
|        stove        | 56.48 | 64.54 |
|         palm        | 35.93 | 50.52 |
|    kitchen island   | 34.04 | 57.29 |
|       computer      | 43.41 | 58.46 |
|     swivel chair    | 34.97 | 49.72 |
|         boat        | 30.02 | 34.76 |
|         bar         | 17.02 | 19.07 |
|    arcade machine   | 19.63 | 20.46 |
|        hovel        | 17.51 | 25.54 |
|         bus         | 66.37 |  80.5 |
|        towel        |  31.3 | 42.99 |
|        light        | 14.28 | 21.79 |
|        truck        | 25.89 | 34.82 |
|        tower        |  4.0  |  5.07 |
|      chandelier     | 44.69 | 61.19 |
|        awning       | 13.15 | 14.87 |
|     streetlight     |  6.99 |  11.2 |
|        booth        | 48.04 | 52.14 |
| television receiver | 43.69 | 57.45 |
|       airplane      | 32.19 | 50.11 |
|      dirt track     |  9.81 | 17.33 |
|       apparel       | 19.23 | 33.82 |
|         pole        |  6.77 | 10.32 |
|         land        |  8.12 | 10.13 |
|      bannister      |  0.79 |  1.01 |
|      escalator      |  4.09 |  4.4  |
|       ottoman       | 35.12 | 47.97 |
|        bottle       | 10.05 | 15.96 |
|        buffet       | 30.31 | 33.53 |
|        poster       |  19.6 | 25.11 |
|        stage        |  9.17 | 11.89 |
|         van         | 33.27 |  42.2 |
|         ship        | 56.91 |  59.8 |
|       fountain      |  9.59 |  9.94 |
|    conveyer belt    | 42.42 | 62.79 |
|        canopy       | 14.14 | 15.98 |
|        washer       | 58.61 | 64.41 |
|      plaything      | 22.48 | 34.03 |
|    swimming pool    | 22.33 | 33.88 |
|        stool        | 18.76 | 27.11 |
|        barrel       | 43.84 | 60.63 |
|        basket       | 19.38 | 26.99 |
|      waterfall      | 46.01 | 65.72 |
|         tent        | 76.75 | 88.69 |
|         bag         |  5.24 |  6.68 |
|       minibike      | 46.02 | 63.67 |
|        cradle       |  59.6 | 85.01 |
|         oven        | 21.34 | 47.32 |
|         ball        | 37.63 | 60.08 |
|         food        | 38.78 | 49.43 |
|         step        | 13.61 |  16.4 |
|         tank        | 32.34 | 34.96 |
|      trade name     | 13.19 | 15.91 |
|      microwave      | 25.98 | 29.81 |
|         pot         | 17.43 | 24.42 |
|        animal       | 42.92 | 47.07 |
|       bicycle       | 32.52 |  48.3 |
|         lake        | 35.36 | 59.19 |
|      dishwasher     | 52.04 | 60.64 |
|        screen       | 56.19 |  78.5 |
|       blanket       |  6.24 |  7.03 |
|      sculpture      | 26.89 | 33.79 |
|         hood        | 48.82 | 61.81 |
|        sconce       | 18.06 | 26.74 |
|         vase        | 18.87 | 34.88 |
|    traffic light    | 11.69 |  18.1 |
|         tray        |  4.7  |  9.96 |
|        ashcan       | 19.77 |  31.7 |
|         fan         | 22.05 | 35.51 |
|         pier        | 21.91 | 25.63 |
|      crt screen     |  1.59 |  3.0  |
|        plate        | 31.48 | 44.27 |
|       monitor       | 27.09 | 34.47 |
|    bulletin board   | 23.81 |  28.8 |
|        shower       |  0.0  |  0.0  |
|       radiator      | 29.53 | 37.17 |
|        glass        |  8.54 |  9.75 |
|        clock        |  9.56 | 12.83 |
|         flag        | 18.34 | 21.22 |
+---------------------+-------+-------+
11/13 15:25:02 - mmengine - INFO - Iter(test) [2000/2000]    aAcc: 72.9800  mIoU: 33.7900  mAcc: 44.8100  data_time: 0.0021  time: 1.2425
Finished processing corruption type: elastic_transform
Processing corruption type: pixelate
11/13 15:25:30 - mmengine - INFO - 
------------------------------------------------------------
System environment:
    sys.platform: linux
    Python: 3.8.20 (default, Oct  3 2024, 15:24:27) [GCC 11.2.0]
    CUDA available: True
    MUSA available: False
    numpy_random_seed: 1773233209
    GPU 0: Tesla V100-SXM2-32GB
    CUDA_HOME: /opt/bwhpc/common/devel/cuda/11.7
    NVCC: Cuda compilation tools, release 11.7, V11.7.99
    GCC: gcc (GCC) 8.5.0 20210514 (Red Hat 8.5.0-18)
    PyTorch: 1.13.1
    PyTorch compiling details: PyTorch built with:
  - GCC 9.3
  - C++ Version: 201402
  - Intel(R) oneAPI Math Kernel Library Version 2021.4-Product Build 20210904 for Intel(R) 64 architecture applications
  - Intel(R) MKL-DNN v2.6.0 (Git Hash 52b5f107dd9cf10910aaa19cb47f3abf9b349815)
  - OpenMP 201511 (a.k.a. OpenMP 4.5)
  - LAPACK is enabled (usually provided by MKL)
  - NNPACK is enabled
  - CPU capability usage: AVX2
  - CUDA Runtime 11.7
  - NVCC architecture flags: -gencode;arch=compute_37,code=sm_37;-gencode;arch=compute_50,code=sm_50;-gencode;arch=compute_60,code=sm_60;-gencode;arch=compute_61,code=sm_61;-gencode;arch=compute_70,code=sm_70;-gencode;arch=compute_75,code=sm_75;-gencode;arch=compute_80,code=sm_80;-gencode;arch=compute_86,code=sm_86;-gencode;arch=compute_37,code=compute_37
  - CuDNN 8.5
  - Magma 2.6.1
  - Build settings: BLAS_INFO=mkl, BUILD_TYPE=Release, CUDA_VERSION=11.7, CUDNN_VERSION=8.5.0, CXX_COMPILER=/opt/rh/devtoolset-9/root/usr/bin/c++, CXX_FLAGS= -fabi-version=11 -Wno-deprecated -fvisibility-inlines-hidden -DUSE_PTHREADPOOL -fopenmp -DNDEBUG -DUSE_KINETO -DUSE_FBGEMM -DUSE_QNNPACK -DUSE_PYTORCH_QNNPACK -DUSE_XNNPACK -DSYMBOLICATE_MOBILE_DEBUG_HANDLE -DEDGE_PROFILER_USE_KINETO -O2 -fPIC -Wno-narrowing -Wall -Wextra -Werror=return-type -Werror=non-virtual-dtor -Wno-missing-field-initializers -Wno-type-limits -Wno-array-bounds -Wno-unknown-pragmas -Wunused-local-typedefs -Wno-unused-parameter -Wno-unused-function -Wno-unused-result -Wno-strict-overflow -Wno-strict-aliasing -Wno-error=deprecated-declarations -Wno-stringop-overflow -Wno-psabi -Wno-error=pedantic -Wno-error=redundant-decls -Wno-error=old-style-cast -fdiagnostics-color=always -faligned-new -Wno-unused-but-set-variable -Wno-maybe-uninitialized -fno-math-errno -fno-trapping-math -Werror=format -Werror=cast-function-type -Wno-stringop-overflow, LAPACK_INFO=mkl, PERF_WITH_AVX=1, PERF_WITH_AVX2=1, PERF_WITH_AVX512=1, TORCH_VERSION=1.13.1, USE_CUDA=ON, USE_CUDNN=ON, USE_EXCEPTION_PTR=1, USE_GFLAGS=OFF, USE_GLOG=OFF, USE_MKL=ON, USE_MKLDNN=ON, USE_MPI=OFF, USE_NCCL=ON, USE_NNPACK=ON, USE_OPENMP=ON, USE_ROCM=OFF, 

    TorchVision: 0.14.1
    OpenCV: 3.4.18
    MMEngine: 0.10.5

Runtime environment:
    cudnn_benchmark: True
    mp_cfg: {'mp_start_method': 'fork', 'opencv_num_threads': 0}
    dist_cfg: {'backend': 'nccl'}
    seed: 1773233209
    Distributed launcher: none
    Distributed training: False
    GPU number: 1
------------------------------------------------------------

11/13 15:25:30 - mmengine - INFO - Config:
crop_size = (
    512,
    512,
)
data_preprocessor = dict(
    bgr_to_rgb=True,
    corruption=False,
    mean=[
        123.675,
        116.28,
        103.53,
    ],
    pad_val=0,
    seg_pad_val=255,
    std=[
        58.395,
        57.12,
        57.375,
    ],
    type='SegDataPreProcessor')
data_root = 'data/ade/ADEChallengeData2016'
dataset_type = 'ADE20KDataset'
default_hooks = dict(
    checkpoint=dict(by_epoch=False, interval=16000, type='CheckpointHook'),
    logger=dict(interval=50, log_metric_by_epoch=False, type='LoggerHook'),
    param_scheduler=dict(type='ParamSchedulerHook'),
    sampler_seed=dict(type='DistSamplerSeedHook'),
    timer=dict(type='IterTimerHook'),
    visualization=dict(type='SegVisualizationHook'))
default_scope = 'mmseg'
env_cfg = dict(
    cudnn_benchmark=True,
    dist_cfg=dict(backend='nccl'),
    mp_cfg=dict(mp_start_method='fork', opencv_num_threads=0))
img_ratios = [
    0.5,
    0.75,
    1.0,
    1.25,
    1.5,
    1.75,
]
launcher = 'none'
load_from = '../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth'
log_level = 'INFO'
log_processor = dict(by_epoch=False)
model = dict(
    auxiliary_head=dict(
        align_corners=False,
        channels=256,
        concat_input=False,
        dropout_ratio=0.1,
        in_channels=1024,
        in_index=2,
        loss_decode=dict(
            loss_weight=0.4, type='CrossEntropyLoss', use_sigmoid=False),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        num_classes=150,
        num_convs=1,
        type='FCNHead'),
    backbone=dict(
        contract_dilation=True,
        depth=101,
        dilations=(
            1,
            1,
            2,
            4,
        ),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        norm_eval=False,
        num_stages=4,
        out_indices=(
            0,
            1,
            2,
            3,
        ),
        strides=(
            1,
            2,
            1,
            1,
        ),
        style='pytorch',
        type='ResNetV1c'),
    data_preprocessor=dict(
        bgr_to_rgb=True,
        corruption='pixelate',
        mean=[
            123.675,
            116.28,
            103.53,
        ],
        pad_val=0,
        seg_pad_val=255,
        size=(
            512,
            512,
        ),
        std=[
            58.395,
            57.12,
            57.375,
        ],
        type='SegDataPreProcessor'),
    decode_head=dict(
        align_corners=False,
        channels=512,
        dropout_ratio=0.1,
        in_channels=2048,
        in_index=3,
        loss_decode=dict(
            loss_weight=1.0, type='CrossEntropyLoss', use_sigmoid=False),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        num_classes=150,
        pool_scales=(
            1,
            2,
            3,
            6,
        ),
        type='PSPHead'),
    pretrained='open-mmlab://resnet101_v1c',
    test_cfg=dict(mode='whole'),
    train_cfg=dict(),
    type='EncoderDecoder')
norm_cfg = dict(requires_grad=True, type='SyncBN')
optim_wrapper = dict(
    clip_grad=None,
    optimizer=dict(lr=0.01, momentum=0.9, type='SGD', weight_decay=0.0005),
    type='OptimWrapper')
optimizer = dict(lr=0.01, momentum=0.9, type='SGD', weight_decay=0.0005)
param_scheduler = [
    dict(
        begin=0,
        by_epoch=False,
        end=160000,
        eta_min=0.0001,
        power=0.9,
        type='PolyLR'),
]
resume = False
test_cfg = dict(type='TestLoop')
test_dataloader = dict(
    batch_size=1,
    dataset=dict(
        data_prefix=dict(
            img_path='images/validation',
            seg_map_path='annotations/validation'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(keep_ratio=True, scale=(
                2048,
                512,
            ), type='Resize'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=False, type='DefaultSampler'))
test_evaluator = dict(
    iou_metrics=[
        'mIoU',
    ], type='IoUMetric')
test_pipeline = [
    dict(type='LoadImageFromFile'),
    dict(keep_ratio=True, scale=(
        2048,
        512,
    ), type='Resize'),
    dict(reduce_zero_label=True, type='LoadAnnotations'),
    dict(type='PackSegInputs'),
]
train_cfg = dict(
    max_iters=160000, type='IterBasedTrainLoop', val_interval=16000)
train_dataloader = dict(
    batch_size=4,
    dataset=dict(
        data_prefix=dict(
            img_path='images/training', seg_map_path='annotations/training'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(
                keep_ratio=True,
                ratio_range=(
                    0.5,
                    2.0,
                ),
                scale=(
                    2048,
                    512,
                ),
                type='RandomResize'),
            dict(
                cat_max_ratio=0.75, crop_size=(
                    512,
                    512,
                ), type='RandomCrop'),
            dict(prob=0.5, type='RandomFlip'),
            dict(type='PhotoMetricDistortion'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=True, type='InfiniteSampler'))
train_pipeline = [
    dict(type='LoadImageFromFile'),
    dict(reduce_zero_label=True, type='LoadAnnotations'),
    dict(
        keep_ratio=True,
        ratio_range=(
            0.5,
            2.0,
        ),
        scale=(
            2048,
            512,
        ),
        type='RandomResize'),
    dict(cat_max_ratio=0.75, crop_size=(
        512,
        512,
    ), type='RandomCrop'),
    dict(prob=0.5, type='RandomFlip'),
    dict(type='PhotoMetricDistortion'),
    dict(type='PackSegInputs'),
]
tta_model = dict(type='SegTTAModel')
tta_pipeline = [
    dict(backend_args=None, type='LoadImageFromFile'),
    dict(
        transforms=[
            [
                dict(keep_ratio=True, scale_factor=0.5, type='Resize'),
                dict(keep_ratio=True, scale_factor=0.75, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.0, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.25, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.5, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.75, type='Resize'),
            ],
            [
                dict(direction='horizontal', prob=0.0, type='RandomFlip'),
                dict(direction='horizontal', prob=1.0, type='RandomFlip'),
            ],
            [
                dict(type='LoadAnnotations'),
            ],
            [
                dict(type='PackSegInputs'),
            ],
        ],
        type='TestTimeAug'),
]
val_cfg = dict(type='ValLoop')
val_dataloader = dict(
    batch_size=1,
    dataset=dict(
        data_prefix=dict(
            img_path='images/validation',
            seg_map_path='annotations/validation'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(keep_ratio=True, scale=(
                2048,
                512,
            ), type='Resize'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=False, type='DefaultSampler'))
val_evaluator = dict(
    iou_metrics=[
        'mIoU',
    ], type='IoUMetric')
vis_backends = [
    dict(type='LocalVisBackend'),
]
visualizer = dict(
    name='visualizer',
    type='SegLocalVisualizer',
    vis_backends=[
        dict(type='LocalVisBackend'),
    ])
work_dir = '../corruptions/work_dirs/ade20k/pspnet/pspnet_r101-d8_4xb4-160k_ade20k-512x512/pixelate'

Number of parameters:  68068492
11/13 15:25:49 - mmengine - INFO - Distributed training is not used, all SyncBatchNorm (SyncBN) layers in the model will be automatically reverted to BatchNormXd layers if they are used.
11/13 15:25:49 - mmengine - INFO - Hooks will be executed in the following order:
before_run:
(VERY_HIGH   ) RuntimeInfoHook                    
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
before_train:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_train_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(NORMAL      ) DistSamplerSeedHook                
 -------------------- 
before_train_iter:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_train_iter:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
after_train_epoch:
(NORMAL      ) IterTimerHook                      
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_val:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
before_val_epoch:
(NORMAL      ) IterTimerHook                      
 -------------------- 
before_val_iter:
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_val_iter:
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
after_val_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(BELOW_NORMAL) LoggerHook                         
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
after_val:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
after_train:
(VERY_HIGH   ) RuntimeInfoHook                    
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
